PartID,TensileTestID,PartType,PowderName,BuildOrientationAngle_value,BuildOrientationAngle_unit,LayerThickness_value,LayerThickness_unit,NameOfProcessParameter,HeatTreatment,BuildPlatformTemperature,MaterialSurfaceTemperatureAsSupposed_value,MaterialSurfaceTemperatureAsSupposed_unit,Ym_value,Ym_unit,Rp02_value,Rp02_unit,R_UTS_value,R_UTS_unit,A_value,A_unit,Ag_value,Ag_unit,SurfaceFinishing,TensileTestResultURL
B003_90_3,E54D01,Probestab,Pulver 1,9.0E1,°,3.0E1,µm,B003_Parameter_set,none,2.5E1,20,°C,62994.53825418941,MPa ,246.2353543082908,MPa ,314.7271256195432,MPa ,1.100935549381006,%,1.100935549381006,%,machined,https://owncloud.fraunhofer.de/index.php/s/Zi7k6cqLZkuBTDk/download
B003_90_4,E54D02,Probestab,Pulver 1,9.0E1,°,3.0E1,µm,B003_Parameter_set,none,2.5E1,20,°C,63986.75541228251,MPa ,251.4644749533257,MPa ,286.8585887209626,MPa ,0.5346796963319623,%,0.5113919975089779,%,machined,https://owncloud.fraunhofer.de/index.php/s/Zi7k6cqLZkuBTDk/download
B003_90_5,E54D03,Probestab,Pulver 1,9.0E1,°,3.0E1,µm,B003_Parameter_set,none,2.5E1,20,°C,63637.70324611854,MPa ,254.5374783455265,MPa ,308.261172010159,MPa ,0.8233122499989097,%,0.8056834421062916,%,machined,https://owncloud.fraunhofer.de/index.php/s/Zi7k6cqLZkuBTDk/download
B003_90_18,E54D04,Probestab,Pulver 1,9.0E1,°,3.0E1,µm,B003_Parameter_set,none,2.5E1,20,°C,64517.86851231982,MPa ,246.5961534053357,MPa ,311.5995857803854,MPa ,1.024476880814833,%,1.010975972078172,%,machined,https://owncloud.fraunhofer.de/index.php/s/Zi7k6cqLZkuBTDk/download
B004_45_1,E54D06,Probestab,Pulver 1,4.5E1,°,3.0E1,µm,B004_Parameter_set,none,2.5E1,20,°C,70160.69248019635,MPa ,258.8359952344337,MPa ,312.6346964426205,MPa ,1.118766445020543,%,1.064058465041924,%,machined,https://owncloud.fraunhofer.de/index.php/s/Zi7k6cqLZkuBTDk/download
B004_45_2,E54D07,Probestab,Pulver 1,4.5E1,°,3.0E1,µm,B004_Parameter_set,none,2.5E1,20,°C,72084.60639526365,MPa ,267.1438720175707,MPa ,301.104752197319,MPa ,0.6183477784482072,%,0.6183477784482072,%,machined,https://owncloud.fraunhofer.de/index.php/s/Zi7k6cqLZkuBTDk/download
B004_45_3,E54D08,Probestab,Pulver 1,4.5E1,°,3.0E1,µm,B004_Parameter_set,none,2.5E1,20,°C,70000,MPa ,272.1875641261534,MPa ,332.680085398709,MPa ,1.2273604400185,%,1.2273604400185,%,machined,https://owncloud.fraunhofer.de/index.php/s/Zi7k6cqLZkuBTDk/download
B004_45_4,E54D09,Probestab,Pulver 1,4.5E1,°,3.0E1,µm,B004_Parameter_set,none,2.5E1,20,°C,73003.50728374648,MPa ,281.901212438515,MPa ,357.6384343548039,MPa ,1.706695200344462,%,1.706695200344462,%,machined,https://owncloud.fraunhofer.de/index.php/s/Zi7k6cqLZkuBTDk/download
B001_0_A1,E54D15,Probestab,Pulver 1,0.0E0,°,3.0E1,µm,B001_Parameter_set,none,2.5E1,20,°C,66554.33273074363,MPa ,286.4100562302429,MPa ,428.7396564869281,MPa ,4.711121841505786,%,4.711121841505786,%,machined,https://owncloud.fraunhofer.de/index.php/s/Zi7k6cqLZkuBTDk/download
B001_0_B1,E54D16,Probestab,Pulver 1,0.0E0,°,3.0E1,µm,B001_Parameter_set,none,2.5E1,20,°C,66301.9302276376,MPa ,284.274340469696,MPa ,427.1136922853798,MPa ,5.112976688820432,%,4.754883749962311,%,machined,https://owncloud.fraunhofer.de/index.php/s/Zi7k6cqLZkuBTDk/download
B001_0_E1,E54D17,Probestab,Pulver 1,0.0E0,°,3.0E1,µm,B001_Parameter_set,none,2.5E1,20,°C,66773.4256770336,MPa ,286.5361816325679,MPa ,413.8002831642638,MPa ,3.687098039747688,%,3.681751860967057,%,machined,https://owncloud.fraunhofer.de/index.php/s/Zi7k6cqLZkuBTDk/download
B001_0_E2,E54D18,Probestab,Pulver 1,0.0E0,°,3.0E1,µm,B001_Parameter_set,none,2.5E1,20,°C,66719.78781354018,MPa ,287.1179628251801,MPa ,429.8055097898107,MPa ,4.711164891335207,%,4.711164891335207,%,machined,https://owncloud.fraunhofer.de/index.php/s/Zi7k6cqLZkuBTDk/download
B002_0_A1,E54D20,Probestab,Pulver 1,0.0E0,°,3.0E1,µm,B002_Parameter_set,none,2.5E1,20,°C,63268.38010178723,MPa ,287.6915853837345,MPa ,427.1317425616656,MPa ,4.663792857183365,%,4.65267987310307,%,machined,https://owncloud.fraunhofer.de/index.php/s/Zi7k6cqLZkuBTDk/download
